1,"(100, 501, 8)","[S1, S2, S3, S4, S5, S6, S7, S8, S9, S10, S11, S12]","[S1, S5, S9]","[S6, S11]"
,"(1001, 1650, 2)",,,
,"(2800, 2150, 7)",,,
2,"(1201, 1111, 5)","[S1, S2, S3, S4, S5, S6, S7, S8, S9, S10, S11, S12]","[S1, S5, S9]","[S6, S11]"
,"(1201, 1299, 3)",,,
,"(101, 301, 9)",,,
,"(299, 1, 4)",,,
3,"(2995, 2990, 5)","[S1, S2, S3, S4, S5, S6, S7, S8, S9, S10, S11, S12]","[S1, S5, S9]","[S6, S11]"
,"(791, 997, 3)",,,
,"(1895, 1890, 5)",,,
,"(2995, 2994, 7)",,,
4,"(2770, 2799, 1)","[S1, S2, S3, S5, S6, S7, S8, S9, S10, S11, S12]","[S1, S5, S9]","[S6, S11]"
,"(196, 197, 3)",,,
,"(1295, 1990, 17)",,,
5,"(973, 707, 2)","[S1, S5, S6, S7, S8, S9, S10, S11]","[S1, S5, S9]","[S6, S11]"
,"(1495, 1490, 3)",,,
,"(333, 691, 4)",,,
,"(1690, 1695, 6)",,,
,"(2975, 2970, 9)",,,
6,"(888, 777, 5)","[S1, S2, S3, S4, S5, S6, S7, S8, S9, S10, S11, S12]","[S1, S5, S9]","[S6, S11]"
,"(1415, 1189, 5)",,,
,"(2222, 2333, 6)",,,
